,,0,1,2,3,4,5,6,7,8,9
,SU,BEFORE_TRADING,BUSINESS_HOURS,CONCLUDING_AUCTIONS,AFTER_HOURS,PREPARING_AUCTIONS,RESERVED,RESERVED,AFTER_TRADING,SHUTDOWN,SU_LOGIN
(Passwd),0,1,1,0,1,0,0,0,1,1,0
(ProtocolVersion),0,1,1,0,1,0,0,0,1,1,0
Balances,0,0,1,0,1,0,0,0,1,1,0
Executions,0,0,1,0,1,0,0,0,1,1,0
MarketPrice,0,0,1,0,1,0,0,0,1,1,0
MarketStatus,0,1,1,0,1,0,0,0,1,1,0
MemberProfile,0,1,1,0,1,0,0,0,1,1,0
OrderRequest,0,0,1,0,1,0,0,0,0,0,0
OrderStatus,0,0,1,0,1,0,0,0,1,1,0
Position,0,0,1,0,1,0,0,0,1,1,0
ServerDate,0,1,1,0,1,0,0,0,1,1,0
ServerStatus,0,1,1,0,1,0,0,0,1,1,0
StartTime,0,1,1,0,1,0,0,0,1,1,0
(ContractSpecifications),0,1,1,0,1,0,0,0,1,1,0
Schedule,0,1,1,0,1,0,0,0,1,1,0
IntervalTime,0,1,1,0,1,0,0,0,1,1,0
ServerTime,0,1,1,0,1,0,0,0,1,1,0
OrderCancel,0,0,1,0,1,0,0,0,0,0,0
TodaysQuotes,0,0,1,0,1,0,0,0,1,1,0
HistoricalQuotes,0,0,1,0,1,0,0,0,1,1,0
BoardInformation,0,0,1,0,1,0,0,0,1,1,0
SpotPrice,0,0,1,0,1,0,0,0,1,1,0
AllPositions,1,1,1,0,1,0,0,0,1,1,0
AllBalances,1,1,1,0,1,0,0,0,1,1,0
BoardData,0,0,1,0,1,0,0,0,1,1,0
OrderCheck,0,0,1,0,1,0,0,0,1,1,0
OrderIDHistory,0,0,1,0,1,0,0,0,1,1,0
SetSchedule,1,1,1,0,1,0,0,0,0,0,1
SetSpotDate,1,1,1,0,1,0,0,0,0,0,1
SetSpotInterval,1,1,1,0,1,0,0,0,0,0,1
StartServerAfter,1,1,1,0,1,0,0,0,0,0,1
SpotInterval,0,1,1,0,1,0,0,0,1,1,0
ExchangeProfile,1,1,1,0,1,0,0,0,1,1,0
AccountHistory,0,1,1,0,1,0,0,0,1,1,0
